"Alachua County, Florida (FL001)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,FL001oil ID,,,,,
16,"Biscayne marl, drained ","18,067.50",2.70%,Fl08613200,,,,,
6,"Perrine marl, drained ","11,905.20",1.80%,Fl08613203,,,,,
26,"Perrine marl, tidal ","8,770.60",1.30%,Fl08613005,,,,,
5,Pennsuco marl ,"7,138.10",1.10%,Fl08613204,,,,,
,,,,,,,,,
,,,,,,,,,
"Monroe County, Keys Area, Florida (FL687)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
6,"Keylargo muck, tidal ","11,795.90",5.80%,FL08744004,,,,,
2,"Pennekamp gravelly muck, 0-2 percent slopes, extremely stony ","7,443.00",3.70%,FL08744003,,,,,
5,"Islamorada muck, tidal ","7,425.10",3.70%,FL08744007,,,,,
15,"Cudjoe marl, tidal ","5,564.20",2.80%,FL08744006,,,,,
19,"Saddlebunch marl, occasionally flooded ","1,870.40",0.90%,FL08744011,,,,,
9,"Lignumvitae marl, tidal ","1,652.80",0.80%,FL08744005,,,,,
17,"Keywest marl, tidal ",647.5,0.30%,FL08744008,,,,,
16,"Bahiahonda fine sand, 0 to 3 percent slopes ",412.4,0.20%,FL08744009,,,,,
,,,,,,,,,
,,,,,,,,,
"Nassau County, Florida (FL089)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
13,Goldhead fine sand ,"52,437.40",12.10%,FL08945026,,,,,
9,Leon fine sand ,"37,610.70",8.70%,FL08945027,,,,,
36,Boulogne fine sand ,"33,147.20",7.70%,FL08945015,,,,,
15,"Buccaneer clay, frequently flooded ","26,800.90",6.20%,FL08945017,,,,,
37,Meggett loamy fine sand ,"24,894.10",5.80%,FL08945018,,,,,
11,Chaires fine sand ,"23,944.40",5.50%,FL08945022,,,,,
24,Kingsferry fine sand ,"18,623.00",4.30%,FL08945028,,,,,
39,Evergreen mucks depressional-,"15,920.00",3.70%,FL08945014,,,,,
6,"Hurricane fine sand, 0 to 5 percent slopes ","15,135.50",3.50%,FL08945008,,,,,
51,"Albany fine sand, 0 to 5 percent slopes ","8,767.10",2.00%,FL08945007,,,,,
53,Meadowbrook fine sand ,"4,641.30",1.10%,FL08945025,,,,,
54,Sapelo fine sand ,"4,369.60",1.00%,FL08945021,,,,,
10,Mandarin fine sand ,"3,305.10",0.80%,FL08945010,,,,,
23,"Ocilla fine sand, 0 to 5 percent slopes ","1,915.70",0.40%,FL08945023,,,,,
,,,,,,,,,
,,,,,,,,,
"Okaloosa County, Florida (FL091)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
12,"Lakeland sand, 0 to 5 percent slopes ","216,080.60",33.90%,FL09146005,,,,,
23,"Troup sand, 0 to 5 percent slopes ","34,110.60",5.40%,FL09146009,,,,,
39,"Dothan loamy sand, 2 to 5 percent slopes ","23,394.40",3.70%,FL09146022,,,,,
36,"Bonifay sand, 0 to 5 percent slopes ","17,628.80",2.80%,FL09146020,,,,,
,"Bigbee soils, occasionally flooded ",,,FL09146011,,,,,
52,"Escambia fine sandy loam, 0 to 3 percent slopes ","13,210.10",2.10%,FL09146021,,,,,
41,"Fuquay loamy fine sand, 0 to 5 percent slopes ","10,614.60",1.70%,FL09146016,,,,,
4,"Chipley , 0 to 5 percent slopes ","10,093.30",1.60%,FL09146013,,,,,
,"Hurricane soils, 0 to 5 percent slopes ",,,FL09146010,,,,,
8,"Foxworth sand, 0 to 5 percent slopes ","6,242.40",1.00%,FL09146014,,,,,
45,"Orangeburg sandy loam, 0 to 2 percent slopes ","5,720.80",0.90%,FL09146007,,,,,
44,"Leefield- complex, 0 to 5 percent slopes ","4,367.70",0.70%,FL09146018,,,,,
10,"Kureb sand, 0 to 8 percent slopes ","3,612.80",0.60%,FL09146001,,,,,
,,,,,,,,,
,,,,,,,,,
"Okeechobee County, Florida (FL093)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,,,,,,
11,Immokalee fine sand ,110046.8,0.193,FL06131003,Indian River,,,,
7,"Floridana, soils, depressional ",41494.3,0.073,FL06131017,Indian River,,,,
,"Placid soils, depressional ",,,FL05528023,Highlands,,,,
5,Valkaria fine sand ,36898.5,0.065,FL05528009,Highlands,,,,
2,Basinger fine sand ,33539.9,0.059,FL05528017,Highlands,,,,
20,"Pomello fine sand, 0 to 5 percent slopes ",6772.5,0.012,FL05528022,Highlands,,,,
6,"Manatee loamy fine sand, depressional ",4260.3,0.007,FL06131005,Indian River ,,,,
8,Pineda fine sand ,4150.6,0.007,FL04322001,Glades,,,,
4,Bradenton fine sand ,2753.3,0.005,FL05528012,Highlands,,,,
17,Orsino fine sand ,745.9,0.001,FL06131018,Indian River,,,,
,,,,,,,,,
,,,,,,,,,
"Orange County, Florida (FL095)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
3,"Basinger fine sand, depressional ",33254.2,0.052,FL00705016,Brevard,,,,
4,"Candler fine sand, 0 to 5 percent slopes ",28989,0.045,FL06935004,Lake,,,,
23,Malabar fine sand ,20675,0.032,FL00705015,,,,,
47,"Tavares fine sands, 0 to 5 percent slopes ",18003.2,0.028,FL06935005,Brevard,,,,
,"Millhopper fine sands, 0 to 5 percent slopes ",,,FL06935003,Lake ,,,,
,"Holopaw fine sands, frequently flooded ",,,FL00705041,Lake,,,,
15,"Felda fine sand, frequently flooded ",6297,0.01,FL00705005,Brevard,,,,
38,"St. Lucie fine sand, 0 to 5 percent slopes ",3826.7,0.006,FL00705027,Brevard,,,,
31,"Pineda fine sand, frequently flooded ",1136.5,0.002,FL00705017,Brevard,,,,
36,Pompano fine sand ,328.9,0.001,FL00705048,Brevard,,,,
,,,,,,,,,
"Osceola County, Florida (FL097)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
42,Smyrna fine sand ,"188,783.60",19.60%,FL09749029,,,,,
22,Myakka fine sand ,"123,051.20",12.80%,FL09749010,,,,,
11,EauGallie fine sand ,"42,887.40",4.40%,FL09749027,,,,,
32,"Placid fine sand, depressional ","38,694.10",4.00%,FL09749024,,,,,
40,Samsula muck ,"27,903.80",2.90%,FL09749019,,,,,
15,Hontoon muck ,"24,694.10",2.60%,FL09749013,,,,,
34,"Pomello fine sand, 0 to 5 percent slopes ","13,651.20",1.40%,FL09749002,,,,,
17,Kaliga muck ,"10,213.20",1.10%,FL09749014,,,,,
18,Lokosee fine sand ,"10,875.40",1.10%,FL09749022,,,,,
10,"Delray loamy fine sand, depressional ","9,704.90",1.00%,FL09749023,,,,,
45,Wabasso fine sand ,"9,522.10",1.00%,FL09749016,,,,,
26,Oldsmar fine sand ,"7,769.30",0.80%,FL09749030,,,,,
35,Pomona fine sand ,"8,041.10",0.80%,FL09749012,,,,,
9,Cassia fine sand ,"6,385.10",0.70%,FL09749011,,,,,
44,"Tavares fine sand, 0 to 5 percent slopes ","6,297.60",0.70%,FL09749004,,,,,
47,Winder loamy fine sand ,"5,774.30",0.60%,FL09749031,,,,,
1,Adamsville sand ,"5,224.00",0.50%,FL09749017,,,,,
13,Gentry fine sand ,"4,390.50",0.50%,FL09749021,,,,,
41,Satellite sand ,"3,603.50",0.40%,FL09749009,,,,,
43,"St. Lucie fine sand, 0 to 5 percent slopes ","2,542.90",0.30%,FL09749007,,,,,
8,"Candler sand, 5 to 12 percent slopes ","2,148.30",0.20%,FL09749005,,,,,
29,"Parkwood loamy fine sand, occasionally flooded ","1,432.80",0.10%,FL09749026,,,,,
28,"Paola sand, 0 to 5 percent slopes ",478.3,0.00%,FL09749006,,,,,
,"Riviera complex, frequently flooded ",,,FL09749015,added,,,,
,,,,,,,,,
,,,,,,,,,
"Palm Beach County Area, Florida (FL611)",,,,FIP 099,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
43,Terra Ceia muck ,"225,830.00",17.70%,FL09950004,,,,,
26,Pahokee muck ,"202,353.60",15.90%,FL09950008,,,,,
36,Riviera fine sand ,"76,161.10",6.00%,FL09950002,,,,,
20,Lauderhill muck ,"66,916.70",5.30%,FL09950027,,,,,
21,Myakka fine sand ,"45,943.80",3.60%,FL09950201,,,,,
46,Torry muck ,"44,845.20",3.50%,FL09950005,,,,,
10,Boca fine sand ,"28,150.10",2.20%,FL09950024,,,,,
18,Immokalee fine sand ,"28,333.90",2.20%,FL09950017,,,,,
6,Basinger fine sand ,"23,378.70",1.80%,FL09950022,,,,,
24,Okeelanta muck ,"22,903.40",1.80%,FL09950006,,,,,
41,"St. Lucie- complex, 0 to 8 percent slopes ","21,808.00",1.70%,FL09950020,,,,,
,"Paola-complex, 0 to 8 percent slopes ",,,FL09950021,,,,,
17,Holopaw fine sand ,"16,268.10",1.30%,FL09950032,,,,,
29,Pineda fine sand ,"15,943.10",1.30%,FL09950010,,,,,
25,Oldsmar sand ,"15,272.70",1.20%,FL09950033,,,,,
49,Wabasso fine sand ,"12,477.90",1.00%,FL09950013,,,,,
42,Tequesta muck ,"8,159.80",0.60%,FL09950028,,,,,
33,"Pomello fine sand, 0 to 5 percent slopes ","6,353.30",0.50%,FL09950023,,,,,
16,Hallandale fine sand ,"5,594.00",0.40%,FL09950026,,,,,
34,Pompano fine sand ,"3,289.70",0.30%,FL09950200,,,,,
39,Sanibel muck ,"4,405.60",0.30%,FL09950016,,,,,
2,Anclote fine sand ,"2,525.40",0.20%,FL09950007,,,,,
14,Dania muck ,"1,270.90",0.10%,FL09950018,,,,,
19,Jupiter fine sand ,"1,646.10",0.10%,FL09950019,,,,,
27,"Palm Beach-complex, 0 to 8 percent slopes ","1,682.90",0.10%,FL09950025,,,,,
,,,,,,,,,
,,,,,,,,,
"Pasco County, Florida (FL101)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
6,"Tavares sand, 0 to 5 percent slopes ","38,526.00",7.20%,FL10151022,,,,,
2,Pomona fine sand ,"35,730.80",6.70%,FL10151008,,,,,
8,Sellers mucky loamy fine sand ,"32,230.80",6.00%,FL10151004,,,,,
39,"Chobee soils, frequently flooded ","30,494.30",5.70%,FL10151034,,,,,
13,"Candler fine sand, 0 to 5 percent slopes ","29,354.70",5.50%,FL10151029,,,,,
21,Smyrna fine sand ,"29,710.80",5.50%,FL10151023,,,,,
11,Adamsville fine sand ,"23,518.40",4.40%,FL10151021,,,,,
32,"Lake fine sand, 0 to 5 percent slopes ","16,458.70",3.10%,FL10151031,,,,,
35,EauGallie fine sand ,"12,360.50",2.30%,FL10151011,,,,,
69,"Millhopper fine sand, 0 to 5 percent slopes ","8,444.10",1.60%,FL10151024,,,,,
26,Narcoossee fine sand ,"7,766.50",1.40%,FL10151001,,,,,
45,"Kendrick fine sand, 0 to 5 percent slopes ","7,277.50",1.40%,FL10151014,,,,,
1,"Wauchula fine sand, 0 to 5 percent slopes ","5,964.30",1.10%,FL10151005,,,,,
48,"Lochloosa fine sand, 0 to 5 percent slopes ","4,635.30",0.90%,FL10151018,,,,,
52,Samsula muck ,"4,426.20",0.80%,FL10151027,,,,,
55,Homosassa mucky fine sandy loam ,"4,108.90",0.80%,FL10151016,,,,,
59,"Newnan fine sand, 0 to 5 percent slopes ","4,388.80",0.80%,FL10151010,,,,,
42,"Pomello fine sand, 0 to 5 percent slopes ","3,667.70",0.70%,FL10151032,,,,,
10,Wabasso fine sand ,"3,190.30",0.60%,FL10151002,,,,,
17,Immokalee fine sand ,"3,246.40",0.60%,FL10151035,,,,,
20,Aripeka fine sand ,"2,586.80",0.50%,FL10151030,,,,,
4,Felda fine sand ,"1,975.10",0.40%,FL10151007,,,,,
73,Zolfo fine sand ,"2,185.20",0.40%,FL10151033,,,,,
74,"Candler Variant fine sand, 0 to 5 percent slopes ","1,396.40",0.30%,FL10151028,,,,,
72,"Orlando fine sand, 0 to 5 percent slopes ",652.9,0.10%,FL10151036,,,,,
,,,,,,,,,
,,,,,,,,,
"Pinellas County, Florida (FL103)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,,,,,,
29,"Tavares soils , 0 to 5 percent slopes ",14167.7,0.037,Fl10151022,Pasco,,,,
13,Immokalee soils ,9939.6,0.026,FL10151035,Pasco,,,,
31,Wabasso soils ,7810.4,0.02,FL10151002,Pasco,,,,
22,Pineda soils and Urban land ,4778.2,0.012,FL10151037,Pasco,,,,
,,,,,,,,,
,,,,,,,,,
"Polk County, Florida (FL105)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
,Myakka fine sands ,,,FL10553016,,,,,
3,"Candler sand, 0 to 5 percent slopes ","97,563.50",7.60%,FL10553022,,,,,
7,Pomona fine sand ,"91,641.80",7.10%,FL10553002,,,,,
13,Samsula muck ,"53,929.40",4.20%,FL10553017,,,,,
15,"Tavares fine sand, 0 to 5 percent slopes ","53,715.30",4.20%,FL10553019,,,,,
46,"Astatula sand, 0 to 8 percent slopes ","40,495.90",3.10%,FL10553021,,,,,
21,Immokalee sand ,"30,309.20",2.40%,FL10553009,,,,,
32,Kaliga muck ,"26,107.80",2.00%,FL10553018,,,,,
14,"Sparr sand, 0 to 5 percent slopes ","20,100.20",1.60%,FL10553005,,,,,
47,Zolfo fine sand ,"13,106.60",1.00%,FL10553006,,,,,
23,Ona fine sand ,"11,845.40",0.90%,FL10553013,,,,,
2,"Apopka fine sand, 0 to 5 percent slopes ","8,774.10",0.70%,FL10553004,,,,,
24,"Nittaw sandy clay loam, frequently flooded ","8,782.80",0.70%,FL10553011,,,,,
74,Narcoossee sand ,"8,495.80",0.70%,FL10553024,,,,,
77,Satellite sand ,"9,440.50",0.70%,FL10553014,,,,,
83,"Archbold sand, 0 to 5 percent slopes ","9,300.80",0.70%,FL10553023,,,,,
62,Wabasso fine sand ,"7,518.60",0.60%,FL10553012,,,,,
20,"Fort Meade sand, 0 to 5 percent slopes ","6,847.10",0.50%,FL10553007,,,,,
9,Lynne sand ,"5,331.00",0.40%,FL10553003,,,,,
67,Bradenton fine sand ,"4,915.30",0.40%,FL10553010,,,,,
27,"Kendrick fine sand, 0 to 5 percent slopes ","3,228.10",0.30%,FL10553008,,,,,
,,,,,,,,,
,,,,,,,,,
Putnam,"Ocala National Forest Area, Florida (FL609) ",FIP 107,,,,,,,
,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
AsB,"Astatula sand, 0 to 8 percent slopes ","167,433.60",35.70%,FL10754016,,,,,
PlB,"Paola sand, 0 to 8 percent slopes ","27,248.60",5.80%,FL10754015,,,,,
,,,,,,,,,
,,,,,,,,,
"Santa Rosa County, Florida (FL113)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
44,"Troup loamy sand, 0 to 5 percent slopes ","112,589.10",15.30%,FL11357018,,,,,
21,"Lakeland sand, 0 to 5 percent slopes ","95,464.90",13.00%,FL11357021,,,,,
9,"Dothan fine sandy loam, 2 to 5 percent slopes ","48,895.30",6.60%,FL11357026,,,,,
5,"Bonifay loamy sand, 0 to 5 percent slopes ","27,637.50",3.80%,FL11357012,,,,,
25,"Lucy loamy sand, 0 to 5 percent slopes ","23,317.50",3.20%,FL11357027,,,,,
34,"Pactolus loamy sand, 0 to 5 percent slopes ","21,312.70",2.90%,FL11357022,,,,,
14,"Fuquay loamy sand, 0 to 5 percent slopes ","20,197.40",2.70%,FL11357039,,,,,
38,"Red Bay sandy loam, 0 to 2 percent slopes ","18,219.40",2.50%,FL11357024,,,,,
7,Dorovan-association,"17,144.20",2.30%,FL11357015,,,,,
30,"Orangeburg sandy loam, 0 to 2 percent slopes ","12,906.20",1.80%,FL11357019,,,,,
40,Rutlege loamy sand ,"12,967.30",1.80%,FL11357040,,,,,
4,Bohicket  ,"7,350.00",1.00%,FL11357045,,,,,
24,"Leon sand, 0 to 2 percent slopes ","5,574.00",0.80%,FL11357046,,,,,
1,"Albany loamy sand, 0 to 5 percent slopes ","5,470.30",0.70%,FL11357037,,,,,
29,Mulat loamy fine sand ,"4,896.00",0.70%,FL11357041,,,,,
11,"Escambia fine sandy loam, 0 to 2 percent slopes ","2,679.20",0.40%,FL11357023,,,,,
20,"Kureb sand, 0 to 8 percent slopes ","3,291.10",0.40%,FL11357047,,,,,
54,"Foxworth sand, 0 to 5 percent slopes ","2,177.80",0.30%,FL11357009,,,,,
2,Angie variant loam ,"1,707.00",0.20%,FL11357032,,,,,
12,"Esto loam, 2 to 5 percent slopes ","1,823.70",0.20%,FL11357038,,,,,
19,"Kalmia loamy fine sand, 2 to 5 percent slopes ","1,430.20",0.20%,FL11357036,,,,,
28,"Maxton loamy fine sand, 2 to 5 percent slopes ",491.6,0.10%,FL11357031,,,,,
41,"Tifton sandy loam, 0 to 2 percent slopes ",793.3,0.10%,FL11357033,,,,,
,,,,,,,,,
,,,,,,,,,
"Sarasota County, Florida (FL115)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
10,EauGallie fine sands ,168415.2,0.42,FL01508012,Charlotte,,,,
12,"Felda fine sand, depressional ",13506.8,0.034,FL01508003,Charlotte,,,,
4,Bradenton fine sand ,8357,0.021,FL01508008,Charlotte,,,,
25,Malabar fine sand ,2776,0.007,FL01508004,Charlotte,,,,
17,Gator muck ,1501.7,0.004,FL01508009,Charlotte,,,,
3,Boca soils ,954,0.002,FL01508002,Charlotte,,,,
38,Smyrna fine sand ,961.8,0.002,FL01508007,Charlotte,,,,
,,,,,,,,,
,,,,,,,,,
"Seminole County, Florida (FL117)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
20,Myakka fine sands ,29570.9,0.134,FL12764016,Volusia,,,,
,EauGallie fine sands ,,,FL12764024,Volusia,,,,
10,"Basinger, soils, depressional ",22914.5,0.104,FL12764029,Volusia,,,,
31,"Tavares fine sands, 0 to 5 percent slopes ",14615.8,0.066,FL12764014,Volusia,,,,
,"Millhopper fine sands, 0 to 5 percent slopes ",,,FL12764012,Volusia,,,,
6,"Astatula fine sands, 0 to 5 percent slopes ",12808,0.058,FL12764004,Volusia,,,,
19,"Manatee, soils, frequently flooded ",8482.5,0.038,FL12764020,Volusia,,,,
,"Smyrna fine sands, depressional ",,,FL12764011,Volusia,,,,
16,Immokalee sand ,5034.3,0.023,FL12764008,Volusia,,,,
24,"Paola sands, 0 to 5 percent slopes ",4683.8,0.021,FL12764006,Volusia,,,,
25,Pineda fine sand ,1694.2,0.008,FL12764002,Volusia,,,,
18,Malabar fine sand ,1527.6,0.007,FL12764023,Volusia,,,,
,,,,,,,,,
,,,,,,,,,
"St. Johns County, Florida (FL109)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
9,Pomona fine sand ,"32,042.80",7.20%,FL10955025,,,,,
34,Tocoi fine sand ,"20,590.60",4.60%,FL10955036,,,,,
7,Immokalee fine sand ,"20,241.50",4.50%,FL10955028,,,,,
24,"Pellicer silty clay loam, frequently flooded ","17,147.60",3.80%,FL10955010,,,,,
46,Holopaw fine sand ,"16,812.20",3.80%,FL10955008,,,,,
65,Riviera fine sand ,"15,871.70",3.50%,FL10955031,,,,,
11,Smyrna fine sand ,"10,673.90",2.40%,FL10955032,,,,,
13,St. Johns fine sand ,"10,142.90",2.30%,FL10955026,,,,,
62,Floridana fine sand ,"9,263.30",2.10%,FL10955035,,,,,
6,"Tavares fine sand, 0 to 5 percent slopes ","8,236.10",1.80%,FL10955016,,,,,
8,Zolfo fine sand ,"7,447.80",1.70%,FL10955022,,,,,
64,Ellzey fine sand ,"6,175.60",1.40%,FL10955034,,,,,
58,EauGallie fine sand ,"5,988.70",1.30%,FL10955033,,,,,
2,"Astatula fine sand, 0 to 8 percent slopes ","5,488.60",1.20%,FL10955011,,,,,
25,"Parkwood fine sandy loam, frequently flooded ","5,482.70",1.20%,FL10955004,,,,,
44,"Sparr fine sand, 0 to 5 percent slopes ","5,258.80",1.20%,FL10955021,,,,,
41,Tomoka muck ,"4,993.10",1.10%,FL10955020,,,,,
14,Cassia fine sand ,"4,660.30",1.00%,FL10955029,,,,,
15,"Pomello fine sand, 0 to 5 percent slopes ","4,452.00",1.00%,FL10955017,,,,,
22,"Manatee fine sandy loam, frequently flooded ","3,433.70",0.80%,FL10955003,,,,,
31,Fripp- complex,"2,805.30",0.60%,FL10955027,,,,,
16,"Orsino fine sand, 0 to 5 percent slopes ","2,376.80",0.50%,FL10955012,,,,,
27,St. Augustine fine sand ,"1,702.60",0.40%,FL10955038,,,,,
49,"Moultrie fine sand, frequently flooded ","1,775.30",0.40%,FL10955005,,,,,
23,"Paola fine sand, 0 to 8 percent slopes ","1,482.90",0.30%,FL10955015,,,,,
67,"Tisonia mucky peat, frequently flooded ","1,242.80",0.30%,FL10955039,,,,,
35,Hontoon muck ,818.8,0.20%,FL10955018,,,,,
52,"Durbin muck, frequently flooded ",784.9,0.20%,FL10955019,,,,,
33,Jonathan fine sand ,64.8,0.00%,FL10955024,,,,,
,,,,,,,,,
,,,,,,,,,
"St. Lucie County, Florida (FL111)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,,,,,,
55,Winder loamy sand ,"37,165.90",7.40%,FL11156033,,,,,
38,Riviera fine sand ,"32,037.50",6.30%,FL11156018,,,,,
25,Nettles sand,"29,577.20",5.90%,FL11156013,,,,,
,Oldsmar sand,,,FL11156002,,,,,
48,Wabasso sand ,"26,617.20",5.30%,FL11156016,,,,,
50,Waveland fine sands ,"22,546.80",4.50%,FL11156008,,,,,
21,Lawnwood sand,"19,489.90",3.90%,FL11156030,,,,,
2,Ankona sand ,"11,613.00",2.30%,FL11156009,,,,,
31,Pepper sand ,"10,408.10",2.10%,FL11156031,,,,,
23,Malabar fine sand ,"6,893.80",1.40%,FL11156017,,,,,
40,"Samsula muck, depressional ","3,963.30",0.80%,FL11156023,,,,,
,Pomona sands ,,,FL11156011,,,,,
42,"St. Lucie sand, 0 to 8 percent slopes ","2,084.90",0.40%,FL11156010,,,,,
29,Pendarvis sand ,"1,416.20",0.30%,FL11156026,,,,,
,Wauchula sands ,,,FL11156014,,,,,
12,"Electra fine sand, 0 to 5 percent slopes ","1,062.50",0.20%,FL11156015,,,,,
15,Hallandale sand ,837.3,0.20%,FL11156005,,,,,
,,,,,,,,,
,,,,,,,,,
"Sumter County, Florida (FL119)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
4,"Candler sand, 0 to 5 percent slopes ","20,245.20",5.50%,FL11960005,,,,,
9,"Paisley fine sand, bouldery subsurface ","19,241.60",5.20%,FL11960002,,,,,
61,EauGallie fine sand ,"14,214.80",3.80%,FL11960003,,,,,
46,"Ft. Green fine sand, bouldery subsurface ","12,227.50",3.30%,FL11960015,,,,,
27,"Sumterville fine sand, bouldery subsurface, 0 to 5 percent slopes ","7,471.20",2.00%,FL11960004,,,,,
8,"Lake fine sand, 0 to 5 percent slopes ","6,271.80",1.70%,FL11960017,,,,,
11,"Millhopper sand, 0 to 5 percent slopes ","6,182.80",1.70%,FL11960006,,,,,
31,Myakka sand ,"5,213.70",1.40%,FL11960010,,,,,
10,"Sparr fine sand, 0 to 5 percent slopes ","4,396.70",1.20%,FL11960007,,,,,
42,Adamsville fine sand ,"3,968.20",1.10%,FL11960012,,,,,
39,"Mabel fine sand, bouldery subsurface, 0 to 5 percent slopes ","3,639.90",1.00%,FL11960011,,,,,
44,"Oldsmar fine sand, bouldery subsurface ","3,859.10",1.00%,FL11960009,,,,,
67,Wabasso fine sand ,"3,102.20",0.80%,FL11960001,,,,,
1,"Arredondo fine sand, 0 to 5 percent slopes ","2,355.10",0.60%,FL11960016,,,,,
,,,,,,,,,
,,,,,,,,,
"Suwannee County, Florida (FL121)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
13,"Blanton complex, 0 to 5 percent slopes ",90141.1,0.203,FL07940009,Madison,,,,
,"Alpin complex, 0 to 5 percent slopes ",,,FL07940010,Madison,,,,
,"Foxworth complex, 0 to 5 percent slopes ",,,FL12134008,Lafayette,,,,
,Sapelo complex ,,,FL06734007,Lafayette,,,,
26,"Hurricane, soils, 0 to 3 percent slopes ",6467.1,0.015,FL06734006,Lafayette,,,,
," Albany, soils, 0 to 3 percent slopes ",,,FL06734002,Lafayette,,,,
,"Chipley soils, 0 to 3 percent slopes ",,,FL07940023,Madison ,,,,
2,"Ocilla complex, 0 to 5 percent slopes ",5600.2,0.013,FL07940020,Madison ,,,,
,Plummer complex ,,,FL07940018,Madison,,,,
,,,,,,,,,
,,,,,,,,,
"Taylor County, Florida (FL123)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
6,Leon fine sand ,"69,036.20",9.60%,FL12362006,,,,,
12,"Ortega fine sand, 0 to 5 percent slopes ","38,174.80",5.30%,FL12362010,,,,,
5,Chaires fine sand ,"28,604.00",4.00%,FL12362008,,,,,
15,"Ridgewood fine sand, 0 to 3 percent slopes ","24,817.10",3.50%,FL12362011,,,,,
23,Melvina- complex,"24,860.20",3.50%,FL12362018,,,,,
,Moriah-complex,,,FL12362013,,,,,
13,"Hurricane fine sand, 0 to 3 percent slopes ","12,240.00",1.70%,FL12362012,,,,,
,Osier fine sands ,,,FL12362007,,,,,
14,"Chipley, 0 to 3 percent slopes ","6,467.50",0.90%,FL12362009,,,,,
19,"Otela, 0 to 5 percent slopes ","5,652.00",0.80%,FL12362016,,,,,
,"Mandarin complex, 0 to 3 percent slopes ",,,FL12362014,,,,,
8,Meadowbrook fine sand ,"1,598.60",0.20%,FL12362020,added,,,,
40,"Lutterloh fine sand, limestone substratum ",442.30,0.10%,FL12362003,added,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Union County, Florida (FL125)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,,,,,,
12,Sapelo sand ,"24,737.20",15.50%,FL12563006,,,,,
6,Plummer sands ,"20,762.70",13.00%,FL12563005,,,,,
2,"Albany fine sand, 0 to 5 percent slopes ","6,582.20",4.10%,FL12563002,,,,,
3,"Ocilla fine sand, 0 to 5 percent slopes ","4,677.80",2.90%,FL12563008,,,,,
17,"Blanton fine sand, 0 to 5 percent slopes ","3,436.30",2.20%,FL12563003,,,,,
35,"Wampee loamy fine sand, 5 to 12 percent slopes ","1,734.30",1.10%,FL12563007,,,,,
,,,,,,,,,
,,,,,,,,,
"Volusia County, Florida (FL127)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
32,Myakka fine sand ,"52,901.40",6.50%,FL12764016,,,,,
49,Pomona fine sand ,"51,452.40",6.40%,FL12764007,,,,,
4,"Astatula fine sand, 0 to 8 percent slopes ","38,645.70",4.80%,FL12764004,,,,,
29,Immokalee sand ,"34,246.30",4.20%,FL12764008,,,,,
60,Smyrna fine sand ,"30,840.90",3.80%,FL12764011,,,,,
42,"Paola fine sand, 0 to 8 percent slopes ","22,638.10",2.80%,FL12764006,,,,,
63,"Tavares fine sand, 0 to 5 percent slopes ","21,408.60",2.60%,FL12764014,,,,,
17,"Daytona sand, 0 to 5 percent slopes ","17,567.60",2.20%,FL12764015,,,,,
69,Tuscawilla fine sand ,"14,582.50",1.80%,FL12764018,,,,,
